,DateTime,Seq,Temp,'C,Humidity,%
436,2015-6-19,4,14.0,'C,63.0,%
437,2015-6-19,5,13.0,'C,67.0,%
438,2015-6-19,6,14.0,'C,65.0,%
439,2015-6-19,7,15.0,'C,61.0,%
440,2015-6-19,8,14.0,'C,67.0,%
441,2015-6-19,9,15.0,'C,63.0,%
442,2015-6-19,10,15.0,'C,65.0,%
443,2015-6-19,11,15.5,'C,61.0,%
444,2015-6-19,12,16.0,'C,57.0,%
445,2015-6-19,13,17.0,'C,55.0,%
446,2015-6-19,14,18.0,'C,52.0,%
447,2015-6-19,15,19.5,'C,49.0,%
448,2015-6-19,16,20.0,'C,47.5,%
449,2015-6-19,17,20.0,'C,47.5,%
450,2015-6-19,18,20.0,'C,49.0,%
451,2015-6-19,19,20.0,'C,49.0,%
452,2015-6-19,20,19.0,'C,52.0,%
453,2015-6-19,21,18.5,'C,54.0,%
454,2015-6-19,22,16.5,'C,65.5,%
455,2015-6-19,23,15.0,'C,67.0,%
456,2015-6-20,0,15.0,'C,67.0,%
457,2015-6-20,1,14.5,'C,69.5,%
458,2015-6-20,2,14.0,'C,69.5,%
459,2015-6-20,3,14.0,'C,72.0,%
460,2015-6-20,4,14.0,'C,72.0,%
461,2015-6-20,5,14.5,'C,69.5,%
462,2015-6-20,6,15.0,'C,67.0,%
463,2015-6-20,7,15.5,'C,63.0,%
464,2015-6-20,8,16.0,'C,63.0,%
465,2015-6-20,9,16.0,'C,63.0,%
466,2015-6-20,10,17.0,'C,63.0,%
467,2015-6-20,11,17.5,'C,66.0,%
468,2015-6-20,12,18.0,'C,68.0,%
469,2015-6-20,13,17.0,'C,82.0,%
470,2015-6-20,14,18.0,'C,77.0,%
471,2015-6-20,15,19.0,'C,73.0,%
472,2015-6-20,16,20.0,'C,68.0,%
473,2015-6-20,17,17.0,'C,94.0,%
474,2015-6-20,18,18.0,'C,88.0,%
475,2015-6-20,19,18.0,'C,88.0,%
476,2015-6-20,20,18.0,'C,91.0,%
477,2015-6-20,21,18.0,'C,91.0,%
478,2015-6-20,22,18.0,'C,88.0,%
479,2015-6-20,23,18.0,'C,83.0,%
480,2015-6-21,0,17.0,'C,85.0,%
481,2015-6-21,1,17.0,'C,82.0,%
482,2015-6-21,2,16.0,'C,82.0,%
483,2015-6-21,3,15.0,'C,82.0,%
484,2015-6-21,4,15.0,'C,82.0,%
485,2015-6-21,5,15.5,'C,79.5,%
486,2015-6-21,6,16.0,'C,77.0,%
487,2015-6-21,7,16.0,'C,74.5,%
488,2015-6-21,8,16.5,'C,70.0,%
489,2015-6-21,9,17.0,'C,61.0,%
490,2015-6-21,10,17.0,'C,57.0,%
491,2015-6-21,11,18.5,'C,50.5,%
492,2015-6-21,12,18.5,'C,49.0,%
493,2015-6-21,13,19.0,'C,44.5,%
494,2015-6-21,14,19.0,'C,49.0,%
495,2015-6-21,15,20.0,'C,44.5,%
496,2015-6-21,16,20.0,'C,44.5,%
497,2015-6-21,17,19.0,'C,46.0,%
498,2015-6-21,18,19.5,'C,47.5,%
499,2015-6-21,19,19.0,'C,50.5,%
500,2015-6-21,20,18.5,'C,52.5,%
